probe,gene_symbol
1416432_at,Pfkfb3
1416433_at,Rpa2
1416434_at,Bcl2l10
1416435_at,Ltbr
1416436_a_at,Uqcc1
1416437_a_at,Mapk8ip3
1416438_at,Puf60
1416439_at,Dctpp1
1416440_at,Cd164
1416441_at,Cpq
1416442_at,Ier2
1416443_a_at,Sae1
1416444_at,Elovl2
1416445_at,Fam98a
1416446_at,Tmem30a
1416447_at,Tmem30a
1416448_at,Itpa
1416449_x_at,Stxbp2
1416450_at,Taf8
1416451_s_at,Taf8
1416452_at,Oat
1416453_x_at,Gm21571///Rps12-ps18///Rps12-ps24///Rps12-ps10///Rps12-ps14///Rps12-ps13///Rps12-ps15///Rps12-ps12///Rps12-ps16///Rps12-ps11///Rps12
1416454_s_at,Acta2
1416455_a_at,Cryab
1416456_a_at,Chia1
1416457_at,Ddah2
1416458_at,Arf2
1416459_at,Arf2
1416460_at,Miox
1416461_at,Caprin1
1416462_at,Caprin1
1416463_at,Caprin1
1416464_at,Slc4a1
1416465_a_at,Vapa
1416466_at,Vapa
1416467_at,Ddx3x
1416468_at,Aldh1a1
1416469_at,Luzp1
1416470_a_at,Rpn1
1416471_at,Cept1
1416472_at,Syap1
1416473_a_at,Igdcc4
1416474_at,Igdcc4
1416475_at,Ube2d2a
1416476_a_at,Ube2d2a
1416477_at,Ube2d2a
1416478_a_at,Mdh2
1416479_a_at,Tmem14c
1416480_a_at,Higd1a
1416481_s_at,Higd1a
1416482_at,Ttc3
1416483_at,Ttc3
1416484_at,Ttc3
1416485_at,Timm23
1416486_at,Aimp1
1416487_a_at,Yap1
1416488_at,Ccng2
1416489_at,Pi4k2b
1416490_at,Tmed6
1416491_at,Numbl
1416492_at,Ccne1
1416493_at,Ddost
1416494_at,Ndufs5
1416495_s_at,Ndufs5///BC002163
1416496_at,Mrfap1
1416497_at,Pdia4
1416498_at,Ppic
1416499_a_at,Dctn6
1416500_at,Sacm1l
1416501_at,Pdpk1
1416502_a_at,Preb
1416503_at,Lxn
1416504_at,Ulk1
1416505_at,Nr4a1
1416506_at,Psma6
1416507_at,Cnpy2
1416508_at,Med28
1416509_at,Tm9sf3
1416510_at,Mrpl4
1416511_a_at,Cdc42ep4
1416512_at,Nubp2
1416513_at,Lamb2
1416514_a_at,Fscn1
1416515_at,Fscn1
1416516_at,Fscn1
1416517_at,Pnpla6
1416518_at,H1foo
1416519_at,Gm4604///Rpl36
1416520_x_at,Gm4604///Rpl36
1416521_at,Sepw1
1416522_a_at,Grcc10
1416523_at,Rnase1
1416524_at,Spop
1416525_at,Spop
1416526_a_at,Park7
1416527_at,Rab32
1416528_at,Sh3bgrl3
1416529_at,Emp1
1416530_a_at,Pnp
1416531_at,Gsto1
1416532_at,Trrap
1416533_at,Egln2
1416534_at,Dpf2
1416535_at,Mcrs1
1416536_at,Mum1
1416537_at,Creld1
1416538_at,Siae
1416539_at,Siae
1416540_at,Hgs
1416541_at,Clpb
1416542_at,Phf1
1416543_at,Nfe2l2
1416544_at,Ezh2
1416545_at,Zdhhc7
1416546_a_at,Rpl6
1416547_at,Ndufb3
1416548_at,Slc35b4
1416549_at,Slc35b4
1416550_at,Slc35b4
1416551_at,Atp2a2
1416552_at,Dppa5a
1416553_at,Stra13
1416554_at,Pdlim1
1416555_at,Ei24
1416556_at,Tspan31
1416557_a_at,Eftud2
1416558_at,Melk
1416559_at,Rrp8
1416560_at,Slc13a3
1416561_at,Gad1
1416562_at,Gad1
1416563_at,Ctps
1416564_at,Sox7
1416565_at,Cox6b1
1416566_at,Strap
1416567_s_at,Atp5e
1416568_a_at,Acin1
1416569_at,Actl6a
1416570_s_at,Gfm1
1416571_at,Traf4
1416572_at,Mmp14
1416573_at,Pofut2
1416574_at,Tox4
1416575_at,Cdc45
1416576_at,Socs3
1416577_a_at,Gm9840///Rbx1
1416578_at,Gm9840///Rbx1
1416579_a_at,Epcam
1416580_a_at,Stub1
1416581_at,Wdr5
1416582_a_at,Bad
1416583_at,Bad
1416584_at,Man2b2
1416585_at,Ruvbl1
1416586_at,Zfp239
1416587_a_at,Xrcc1
1416588_at,Ptprn
1416589_at,Sparc
1416590_a_at,Rab34
1416591_at,Rab34
1416592_at,Glrx
1416593_at,Glrx
1416594_at,Sfrp1
1416595_at,Mrps22
1416596_at,Slc44a4
1416597_at,Hdgfrp2
1416598_at,Glis2
1416599_at,Glis2
1416600_a_at,Rcan1
1416601_a_at,Rcan1
1416602_a_at,Rad52
1416603_at,Rpl22
1416604_at,Cyc1
1416605_at,Nhp2
1416606_s_at,Nhp2
1416607_at,4931406C07Rik
1416608_a_at,BC004004
1416609_at,BC004004
1416610_a_at,Clcn3
1416611_at,Scamp2
1416612_at,Cyp1b1
1416613_at,Cyp1b1
1416614_at,Eid1
1416615_at,Clpp
1416616_s_at,Clpp
1416617_at,Acss1
1416618_at,Ppox
1416619_at,Vsir
1416620_at,Smarcal1
1416621_at,Llgl1
1416622_at,Wbscr16
1416623_at,Thbs3
1416624_a_at,Kxd1///Uba52
1416625_at,Serping1
1416626_at,Pla2g1b
1416627_at,Spint1
1416628_at,Tmem223
1416629_at,Slc1a5
1416630_at,Id3
1416631_at,Ap4b1
1416632_at,Me1
1416633_a_at,Fam96a
1416634_at,Fam96a
1416635_at,Smpdl3a
1416636_at,Rheb
1416637_at,Slc4a2
1416638_at,Sall2
1416639_at,Slc2a5
1416640_at,Kcne1l
1416641_at,Lig1
1416642_a_at,Tpt1
1416643_at,Tpt1
1416644_a_at,Sema3b
1416645_a_at,Afp
1416646_at,Afp
1416647_at,Bckdha
1416648_at,Dync1h1
1416649_at,Ambp
1416650_at,Rfpl4
1416651_at,Znhit2
1416652_at,Aspn
1416653_at,Stxbp3
1416654_at,Slc31a2
1416655_at,C1galt1c1
1416656_at,Clic1
1416657_at,Akt1
1416658_at,Frzb
1416659_at,Eif3a
1416660_at,Eif3a
1416661_at,Eif3a
1416662_at,Sardh
1416663_at,Ndufa9
1416664_at,Cdc20
1416665_at,Coq7
1416666_at,Serpine2
1416667_at,Ebp
1416668_at,Emc2
1416669_s_at,Naca
1416670_at,Setdb1
1416671_a_at,Mcoln1
1416672_s_at,Mcoln1
1416673_at,Bace2
1416674_at,Ptpru
1416675_s_at,Plcd1
1416676_at,Kng1
1416677_at,Apoh
1416678_at,Cops3
1416679_at,Abcd3
1416680_at,Ube3a
1416681_at,Ube3a
1416682_at,Ube3a
1416683_at,Plxnb2
1416684_at,Fbl
1416685_s_at,Fbl
1416686_at,Plod2
1416687_at,Plod2
1416688_at,Snap91
1416689_at,Tuft1
1416690_at,Gtpbp2
1416691_at,Gtpbp2
1416692_at,Coil
1416693_at,Foxc2
1416694_at,Gk2
1416695_at,Tspo
1416696_at,Mydgf
1416697_at,Dpp4
1416698_a_at,Cks1b
1416699_at,1110008F13Rik
1416700_at,Rnd3
1416701_at,Rnd3
1416702_at,Serpini1
1416703_at,Mapk14
1416704_at,Mapk14
1416705_at,Rpe
1416706_at,Rpe
1416707_a_at,Pmf1
1416708_a_at,Gramd1a
1416709_a_at,Ngrn
1416710_at,Tmem35
1416711_at,Tbr1
1416712_at,Pepd
1416713_at,Tppp3
1416714_at,Irf8
1416715_at,Gjb3
1416716_at,Efs
1416717_at,Crisp2
1416718_at,Bcan
1416719_a_at,Rps10
1416720_at,Srsf6
1416721_s_at,Srsf6
1416722_at,Hmg20a
1416723_at,Tcf4
1416724_x_at,Tcf4
1416725_at,Tcf4
1416726_s_at,Ube2s
1416727_a_at,Cyb5a
1416728_at,Csnk2b
1416729_at,Plg
1416730_at,Rcl1
1416731_at,Top2b
1416732_at,Top2b
1416733_at,Mkln1
1416734_at,Mkln1
1416735_at,Asah1
1416736_at,Casc3
1416737_at,Gys1
1416738_at,Brap
1416739_a_at,Brap
1416740_at,Col5a1
1416741_at,Col5a1
1416742_at,Cfdp1
1416743_at,Uap1
1416744_at,LOC102642017///Uap1
1416745_x_at,LOC102642017///Uap1
1416746_at,H2afx
1416747_at,Mfsd5
1416748_a_at,Mre11a
1416749_at,Htra1
1416750_at,Sigmar1
1416751_a_at,Ddx20
1416752_at,Ldb3
1416753_at,Prkar1b
1416754_at,Prkar1b
1416755_at,Dnajb1
1416756_at,Dnajb1
1416757_at,Zwilch
